Listado de los ePub:
Abducción Cook, Robin
Banquete de sangre Holland, Tom
Barba azul Perrault, Charles
Barrio negro Simenon, Georges
Bartleby y compañía Vila-Matas, Enrique
Basil Collins, Wilkie
Baudolino Eco, Umberto
Beatriz y los cuerpos celestes Etxebarria, Lucía
Beowulf Tolkien, J.R.R
Berlín, la caída. 1945 Beevor, Anthony
Bilis negra Devin, Samantha
Boda En Auschwitz Hackl, Erich
Página 2 de 36
Libros
Nombre Autor
Brandeburgo Meade, Glenn
Breve historia de la nueve Anonimo
Breve Historia de la Orden del Temple Corral, José Luis
Breve historia de la química Asimov, Isaac
Buena suerte Baldacci, David
Bueno es hablar Brunner, John
Buenos Presagios Pratchett, Terry
Buick 8, Un Coche Perverso King, Stephen
Cabo Trafalgar Pérez-Reverte, Arturo
Café Babilonia Mehran, Marsha
Café con aroma de mujer Gaitán Salom. Fernando
Café solo Christie, Agatha
Caín Saramago, José
Camara de gas Grisham, John
Cambio de esquemas Sawyer, Robert J.
Camelot 01 - Ginebra, reina del pais del verano Miles, Rosalind
Camelot 01 - La espada en la piedra White, Terence H.
Camelot 02 - La Reina del aire y las tinieblas White, Terence H.
Camelot 02 - Lanzarote, el caballero del lago sagrado Miles, Rosalind
Camelot 03 - El caballero malhecho White, Terence H.
Camelot 03 - Galahad, el hijo del Santo Grial Miles, Rosalind
Camelot 04 - Una vela al viento White, Terence H.
Camelot 05 - El Libro de Merlin White, Terence H.
Campos de fresas Sierra y Fabrá, Jordi
Canción audaz Deveraux, Jude
Cancion de hielo y fuego 1 - Juego de tronos Martin, George R.R.
Cancion de hielo y fuego 2 - Choque de Reyes Martin, George R.R.
Cancion de hielo y fuego 3 - Tormenta de espadas I Martin, George R.R.
Cancion de hielo y fuego 3 - Tormenta de espadas II Martin, George R.R.
Cancion de hielo y fuego 4 - Festín de cuervos Martin, George R.R.
Caos, Fractales y cosas raras Braun, Eliezer
Caperucita en Manhattan Martín Gaite, Carmen
Capitan De Mar Y Guerra O'Brian, Patrick
Carretera maldita King, Stephen
Carrie King, Stephen
Carson de Venus Burroughs, Edgar Rice
Carta abierta a H. P. Lovecraft Bloch, Robert
Carta con diez años de retraso Guirao, Olga
Cartas de un asesino insignificante Somoza, Jose Carlos
Cartas de un sexagenario voluptuoso Delibes, Miguel
Cartas sobre la mesa Christie, Agatha
Casa Desolada I Dickens, Charles
Casa Desolada II Dickens, Charles
Casas Sin Puertas Straub, Peter
Casi humano Bloch, Robert
Casi la luna Sebold, Alice
Caso abierto Freeman, Brian
Causa Justa Grisham, John
Causas naturales Palmer, Michael
Cautiva en Arabia Morató, Cristina
Cazadores de sombras 01 - Ciudad de hueso Clare, Cassandra
Cazadores de sombras 02 - Ciudad de Cenizas Clare, Cassandra
Cazadores de sombras 03 - Ciudad de Cristal Clare, Cassandra
Cazadores de sombras 1 - Ciudad de hueso Clare, Cassandra
Ceguera Asesina Cook, Robin
Celephais Lovecraft, H. P.
Celestino antes del alba Arenas, Reinaldo
Cell King, Stephen
Cena en el palacio de la discordia Powers, Tim
Centauros Vazquez Figueroa, Alberto
Centennial Michener, James A
Centurión Scarrow, Simon
Cerebro Cook, Robin
Cerebros electrónicos White, George H
Chalion 1 - Los cuervos del Zangre McMaster Bujold, Lois
Chalion 2 - El legado de los cinco dioses McMaster Bujold, Lois
Chalion 3 - Paladín de almas McMaster Bujold, Lois
Chaman Gordon, Noah
Charlie y el gran ascensor de cristal Dahl, Roald
Charlie y la fabrica de chocolate Dahl, Roald
Christine King, Stephen
Cianuro espumoso Christie, Agatha
Ciclo de Tschai 1 - Los chasch Vance, Jack
Ciclo de Tschai 2 - Los wankh Vance, Jack
Ciclo de Tschai 3 - Los dirdir Vance, Jack
Ciclo de Tschai 4 - Los pnume Vance, Jack
Página 3 de 36
Libros
Nombre Autor
Cien años de soledad Garcia Marquez, Gabriel
Cinco cuartos de naranja Harris, Joanne
Cinco horas con Mario Delibes, Miguel
Cirque du Freak 01 Shan, Darren
Cirque du Freak 02 Shan, Darren
Cirque du Freak 03 Shan, Darren
Cirque du Freak 04 Shan, Darren
Cirque du Freak 05 Shan, Darren
Cirque du Freak 06 Shan, Darren
Cirque du Freak 07 Shan, Darren
Cirque du Freak 08 Shan, Darren
Cirque du Freak 09 Shan, Darren
Cirque du Freak 10 Shan, Darren
Cirque du Freak 11 Shan, Darren
Cirque du Freak 12 Shan, Darren
Cisnes salvajes Chang. Jung
Cita con la muerte Christie, Agatha
Cita dorada McLean, Alistair
Citas Marx, Groucho
City Baricco, Alessandro
